rainfall,temperature,N,P,K,pH,State_Name_andhra pradesh,State_Name_assam,State_Name_bihar,State_Name_chhattisgarh,State_Name_gujarat,State_Name_karnataka,State_Name_madhya pradesh,State_Name_maharashtra,State_Name_odisha,State_Name_rajasthan,State_Name_tamil nadu,State_Name_telangana,State_Name_uttar pradesh,State_Name_west bengal,Crop_Type_kharif,Crop_Type_rabi,Crop_Type_summer,Crop_Type_whole year,Crop_Black Gram,Crop_Dry chillies,Crop_Gram,Crop_Horse-gram,Crop_Jowar,Crop_Linseed,Crop_Maize,Crop_Mung beans,Crop_Pigeon peas(Toor Dal),Crop_Ragi,Crop_Rice,Crop_Sesame Seed,Crop_Sunflower,Yield_ton_per_hec
607.48,26.366666666666664,80.0,40.0,40.0,5.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0733333333333333
127.68,20.8,80.0,40.0,40.0,5.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.111845238095238
579.75,34.01,80.0,40.0,40.0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.133759967321652
654.34,29.26666666666667,80.0,40.0,40.0,5.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.982999696125812
770.44,28.68,80.0,40.0,40.0,5.46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.668000258810335
1151.02,28.03333333333333,80.0,40.0,40.0,5.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9702324932901112
579.75,34.01,80.0,40.0,40.0,5.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2880046546206807
152.54000000000002,22.28,80.0,40.0,40.0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5412444589343277
1151.02,28.03333333333333,80.0,40.0,40.0,5.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1950699131008085
288.3,25.46,80.0,40.0,40.0,5.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.239583333333333
182.5,29.2,80.0,40.0,40.0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.144275106617886
98.94,25.574,80.0,40.0,40.0,5.64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.192001262128264
579.75,34.01,80.0,40.0,40.0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.82136087325969
1145.2199999999998,28.5,80.0,40.0,40.0,5.36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3488372093023255
1145.2199999999998,28.5,80.0,40.0,40.0,5.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7688180582764159
607.48,26.366666666666664,80.0,40.0,40.0,5.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.1527093596059113
288.3,25.46,80.0,40.0,40.0,5.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2860202201304847
1011.49,30.43,80.0,40.0,40.0,5.68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
34.81,34.666666666666664,80.0,40.0,40.0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.379968203497615
1543.76,27.33333333333333,80.0,40.0,40.0,5.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.077076160090975
199.2125,21.3,80.0,40.0,40.0,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.9017725258493352
1151.02,28.03333333333333,80.0,40.0,40.0,5.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.112296755769142
770.44,28.68,80.0,40.0,40.0,5.32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2936746987951806
98.94,25.574,80.0,40.0,40.0,5.36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
199.2125,21.3,80.0,40.0,40.0,5.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0106951871657754
87.19999999999999,23.106,80.0,40.0,40.0,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4120874918741157
127.68,20.8,80.0,40.0,40.0,5.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5322322392008076
1111.68,28.648181818181826,80.0,40.0,40.0,5.58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7059540851492497
497.88,25.03333333333333,80.0,40.0,40.0,5.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2521393643031784
297.66,29.566666666666663,80.0,40.0,40.0,5.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.940327471194664
